Vintage 2024 Prepared March 2025,,,,,,,,,
id,idtxt,countyfips,year,estimate,change,births,deaths,netmig,datatype
1,0001970,0,1970,2224610,58710,40348,17274,35636,Estimate
2,0001971,0,1971,2284660,60050,40937,17680,36793,Estimate
3,0001972,0,1972,2378318,93660,39485,17890,72065,Estimate
4,0001973,0,1973,2489591,111276,38563,18258,90971,Estimate
5,0001974,0,1974,2543764,54173,38791,18254,33636,Estimate
6,0001975,0,1975,2576902,33138,39606,17637,11169,Estimate
7,0001976,0,1976,2618311,41409,40576,17700,18533,Estimate
8,0001977,0,1977,2676220,57909,42031,17934,33812,Estimate
9,0001978,0,1978,2766084,89864,43573,18114,64405,Estimate
10,0001979,0,1979,2850234,84150,45637,18380,56893,Estimate
11,0001980,0,1980,2908036,57802,48463,18685,28024,Estimate
12,0001981,0,1981,2980340,72301,50919,19153,40535,Estimate
13,0001982,0,1982,3064868,84522,53457,19512,50577,Estimate
14,0001983,0,1983,3137512,72639,54726,19599,37512,Estimate
15,0001984,0,1984,3174844,37323,54498,19957,2782,Estimate
16,0001985,0,1985,3214448,39596,54734,20310,5172,Estimate
17,0001986,0,1986,3243803,29351,55139,20518,-5270,Estimate
18,0001987,0,1987,3263354,19551,54490,20942,-13997,Estimate
19,0001988,0,1988,3271448,8094,53589,21215,-24280,Estimate
20,0001989,0,1989,3284537,13089,53040,21199,-18752,Estimate
21,0001990,0,1990,3303377,18840,53107,21303,-12964,Estimate
22,0001991,0,1991,3380938,77561,53530,22094,46125,Estimate
23,0001992,0,1992,3489860,108922,54545,22428,76805,Estimate
24,0001993,0,1993,3605050,115190,54100,23171,84261,Estimate
25,0001994,0,1994,3712085,107035,53787,23829,77077,Estimate
26,0001995,0,1995,3811078,98993,53863,24695,69825,Estimate
27,0001996,0,1996,3902506,91428,54974,25073,61527,Estimate
28,0001997,0,1997,3995955,93449,56305,25876,63020,Estimate
29,0001998,0,1998,4102500,106545,57736,26293,75102,Estimate
30,0001999,0,1999,4216006,113506,60718,26531,79319,Estimate
31,0002000,0,2000,4338785,122779,63917,26998,85860,Estimate
32,0002001,0,2001,4444513,105728,66525,27934,67137,Estimate
33,0002002,0,2002,4504709,60196,67778,28833,21251,Estimate
34,0002003,0,2003,4555084,50375,69012,28950,10313,Estimate
35,0002004,0,2004,4608811,53727,68452,29025,14300,Estimate
36,0002005,0,2005,4662534,53723,69031,29087,13779,Estimate
37,0002006,0,2006,4745660,83126,69538,29308,42896,Estimate
38,0002007,0,2007,4821784,76124,70777,29653,35000,Estimate
39,0002008,0,2008,4901938,80154,70733,31048,40469,Estimate
40,0002009,0,2009,4976853,74915,69135,30487,36267,Estimate
