Vintage 2024 Prepared October 2025,,,,,,
id,countyfips,placefips,municipalityname,year,totalpopulation,countyplace
1,0,0,COLORADO STATE,1980,2889735,0
2,1,0,ADAMS COUNTY,1980,245944,100000
3,1,3455,Arvada (Part),1980,1229,103455
4,1,4000,Aurora (Part),1980,29193,104000
5,1,6090,Bennett (Part),1980,942,106090
6,1,8675,Brighton (Part),1980,12773,108675
7,1,9280,Broomfield (Part),1980,5467,109280
8,1,16495,Commerce City,1980,16234,116495
9,1,26270,Federal Heights,1980,7846,126270
10,1,45530,Lochbuie (Part),1980,,145530
11,1,54330,Northglenn (Part),1980,29847,154330
12,1,77290,Thornton (Part),1980,40343,177290
13,1,83835,Westminster (Part),1980,32046,183835
14,1,99990,Unincorporated Adams County,1980,70024,199990
15,3,0,ALAMOSA COUNTY,1980,11799,300000
16,3,1090,Alamosa,1980,6830,301090
17,3,37380,Hooper,1980,71,337380
18,3,99990,Unincorporated Alamosa County,1980,4898,399990
19,5,0,ARAPAHOE COUNTY,1980,293292,500000
20,5,4000,Aurora (Part),1980,129395,504000
21,5,6090,Bennett (Part),1980,,506090
22,5,8070,Bow Mar (Part),1980,690,508070
23,5,12815,Centennial,1980,,512815
24,5,13845,Cherry Hills Village,1980,5127,513845
25,5,16385,Columbine Valley,1980,923,516385
26,5,19630,Deer Trail,1980,463,519630
27,5,24785,Englewood,1980,30021,524785
28,5,28105,Foxfield,1980,,528105
29,5,30340,Glendale,1980,2496,530340
30,5,33035,Greenwood Village,1980,5729,533035
31,5,45255,Littleton (Part),1980,28503,545255
32,5,69645,Sheridan,1980,5377,569645
33,5,99990,Unincorporated Arapahoe County,1980,84568,599990
34,7,0,ARCHULETA COUNTY,1980,3664,700000
35,7,56860,Pagosa Springs,1980,1331,756860
36,7,99990,Unincorporated Archuleta County,1980,2333,799990
37,9,0,BACA COUNTY,1980,5419,900000
38,9,11645,Campo,1980,185,911645
39,9,61315,Pritchett,1980,183,961315
40,9,73330,Springfield,1980,1657,973330
41,9,79270,Two Buttes,1980,84,979270
42,9,81030,Vilas,1980,118,981030
43,9,82460,Walsh,1980,884,982460
44,9,99990,Unincorporated Baca County,1980,2308,999990
45,11,0,BENT COUNTY,1980,5945,1100000
46,11,43660,Las Animas,1980,2818,1143660
47,11,99990,Unincorporated Bent County,1980,3127,1199990
48,13,0,BOULDER COUNTY,1980,189625,1300000
49,13,7850,Boulder,1980,76685,1307850
50,13,9280,Broomfield (Part),1980,14514,1309280
51,13,24950,Erie (Part),1980,23,1324950
52,13,39195,Jamestown,1980,223,1339195
53,13,41835,Lafayette,1980,8985,1341835
54,13,45970,Longmont (Part),1980,42942,1345970
55,13,46355,Louisville,1980,5593,1346355
56,13,47070,Lyons,1980,1137,1347070
57,13,53175,Nederland,1980,1212,1353175
58,13,75640,Superior (Part),1980,208,1375640
59,13,82735,Ward,1980,129,1382735
60,13,99990,Unincorporated Boulder County,1980,37974,1399990
61,14,0,BROOMFIELD COUNTY,1980,,1400000
62,14,9280,Broomfield,1980,,1409280
63,15,0,CHAFFEE COUNTY,1980,13227,1500000
64,15,10105,Buena Vista,1980,2075,1510105
65,15,60600,Poncha Springs,1980,321,1560600
66,15,67280,Salida,1980,4870,1567280
67,15,99990,Unincorporated Chaffee County,1980,5961,1599990
68,17,0,CHEYENNE COUNTY,1980,2153,1700000
69,17,14175,Cheyenne Wells,1980,950,1714175
70,17,41010,Kit Carson,1980,278,1741010
71,17,99990,Unincorporated Cheyenne County,1980,925,1799990
72,19,0,CLEAR CREEK COUNTY,1980,7308,1900000
73,19,12910,Central City (Part),1980,,1912910
74,19,24620,Empire,1980,423,1924620
75,19,29735,Georgetown,1980,830,1929735
76,19,38370,Idaho Springs,1980,2077,1938370
77,19,70360,Silver Plume,1980,140,1970360
78,19,99990,Unincorporated Clear Creek County,1980,3838,1999990
79,21,0,CONEJOS COUNTY,1980,7794,2100000
80,21,2355,Antonito,1980,1103,2102355
81,21,42055,La Jara,1980,858,2142055
82,21,48060,Massa,1980,945,2148060
83,21,65740,Romeo,1980,308,2165740
84,21,67830,Sanford,1980,687,2167830
85,21,99990,Unincorporated Conejos County,1980,3893,2199990
86,23,0,COSTILLA COUNTY,1980,3071,2300000
87,23,7190,Blanca,1980,252,2307190
88,23,68105,San Luis,1980,842,2368105
89,23,99990,Unincorporated Costilla County,1980,1977,2399990
90,25,0,CROWLEY COUNTY,1980,2988,2500000
91,25,18750,Crowley,1980,192,2518750
92,25,55705,Olney Springs,1980,253,2555705
93,25,56145,Ordway,1980,1135,2556145
94,25,74815,Sugar City,1980,306,2574815
95,25,99990,Unincorporated Crowley County,1980,1102,2599990
96,27,0,CUSTER COUNTY,1980,1528,2700000
97,27,70250,Silver Cliff,1980,280,2770250
98,27,83450,Westcliffe,1980,324,2783450
99,27,99990,Unincorporated Custer County,1980,924,2799990
100,29,0,DELTA COUNTY,1980,21225,2900000
101,29,12635,Cedaredge,1980,1184,2912635
102,29,17925,Crawford,1980,268,2917925
103,29,19850,Delta,1980,3931,2919850
104,29,37545,Hotchkiss,1980,849,2937545
105,29,55980,Orchard City,1980,1914,2955980
106,29,57300,Paonia,1980,1425,2957300
107,29,99990,Unincorporated Delta County,1980,11654,2999990
108,31,0,DENVER COUNTY,1980,492694,3100000
109,31,20000,Denver,1980,492694,3120000
110,33,0,DOLORES COUNTY,1980,1658,3300000
111,33,21265,Dove Creek,1980,826,3321265
112,33,64090,Rico,1980,76,3364090
113,33,99990,Unincorporated Dolores County,1980,756,3399990
114,35,0,DOUGLAS COUNTY,1980,25153,3500000
115,35,4000,Aurora (Part),1980,0,3504000
116,35,12387,Castle Pines,1980,,3512390
117,35,12415,Castle Rock,1980,3921,3512415
118,35,43550,Larkspur,1980,141,3543550
119,35,45255,Littleton (Part),1980,128,3545255
120,35,45955,Lone Tree,1980,,3545955
121,35,57630,Parker,1980,290,3557630
122,35,99990,Unincorporated Douglas County,1980,20673,3599990
123,37,0,EAGLE COUNTY,1980,13320,3700000
124,37,4110,Avon,1980,640,3704110
125,37,4935,Basalt (Part),1980,529,3704935
126,37,22200,Eagle,1980,950,3722200
127,37,33695,Gypsum,1980,743,3733695
128,37,50920,Minturn,1980,1060,3750920
129,37,63265,Red Cliff,1980,409,3763265
130,37,80040,Vail,1980,2261,3780040
131,37,99990,Unincorporated Eagle County,1980,6728,3799990
132,39,0,ELBERT COUNTY,1980,6850,3900000
133,39,23740,Elizabeth,1980,789,3923740
134,39,40790,Kiowa,1980,206,3940790
135,39,70635,Simla,1980,494,3970635
136,39,99990,Unincorporated Elbert County,1980,5361,3999990
137,41,0,EL PASO COUNTY,1980,309424,4100000
138,41,11260,Calhan,1980,541,4111260
139,41,16000,Colorado Springs,1980,215105,4116000
140,41,27865,Fountain,1980,8324,4127865
141,41,32650,Green Mountain Falls (Part),1980,589,4132650
142,41,48445,Manitou Springs,1980,4475,4148445
143,41,51800,Monument,1980,690,4151800
144,41,57025,Palmer Lake,1980,1130,4157025
145,41,62660,Ramah,1980,119,4162660
146,41,99990,Unincorporated El Paso County,1980,78451,4199990
147,43,0,FREMONT COUNTY,1980,28676,4300000
148,43,9115,Brookside,1980,178,4309115
149,43,11810,Canon City,1980,13037,4311810
150,43,15330,Coal Creek,1980,190,4315330
151,43,27040,Florence,1980,2987,4327040
152,43,64970,Rockvale,1980,338,4364970
153,43,85155,Williamsburg,1980,72,4385155
154,43,99990,Unincorporated Fremont County,1980,11840,4399990
155,45,0,GARFIELD COUNTY,1980,22514,4500000
156,45,12030,Carbonate,1980,0,4512030
157,45,12045,Carbondale,1980,2084,4512045
158,45,30780,Glenwood Springs,1980,4637,4530780
159,45,53395,New Castle,1980,563,4553395
160,45,57400,Parachute,1980,338,4557400
161,45,64255,Rifle,1980,3215,4564255
