"TABLE  III - A - 1.      PRELIMINARY   POPULATION  FORECASTS  FOR  COLORADO  REGIONS,  2000 - 2050.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage 2023 Prepared July 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.,SDO Proj.
  REGIONS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 COLORADO,"4,338,785","4,444,513","4,504,709","4,555,084","4,608,811","4,662,534","4,745,660","4,821,784","4,901,938","4,976,853","5,050,332","5,123,550","5,194,662","5,270,884","5,347,654","5,446,593","5,529,629","5,599,589","5,676,913","5,734,909","5,784,584","5,811,121","5,840,234","5,876,300","5,919,130","5,970,544","6,022,777","6,099,953","6,178,594","6,251,116","6,324,128","6,395,912","6,466,984","6,535,565","6,602,735","6,667,744","6,732,387","6,795,119","6,856,531","6,915,620","6,971,845","7,025,571","7,075,873","7,125,155","7,172,053","7,217,099","7,260,928","7,302,605","7,342,401","7,379,917","7,416,589"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 FRONT RANGE,"3,540,107","3,631,873","3,683,739","3,725,826","3,774,837","3,823,278","3,895,864","3,961,766","4,031,743","4,097,672","4,162,827","4,235,874","4,306,980","4,381,254","4,457,044","4,550,997","4,627,354","4,690,022","4,759,634","4,812,503","4,858,707","4,878,791","4,904,942","4,937,164","4,976,035","5,023,164","5,070,864","5,141,102","5,212,472","5,277,107","5,342,094","5,405,680","5,468,815","5,529,706","5,589,429","5,647,222","5,704,974","5,761,089","5,816,191","5,869,278","5,919,819","5,968,178","6,013,485","6,058,074","6,100,577","6,141,503","6,181,504","6,219,629","6,256,140","6,290,630","6,324,494"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Denver-Bldr Region,"2,421,222","2,476,410","2,504,883","2,528,665","2,558,106","2,582,177","2,626,197","2,670,038","2,716,819","2,762,164","2,797,896","2,849,585","2,900,136","2,953,169","3,007,185","3,069,273","3,113,687","3,146,741","3,186,733","3,215,707","3,241,942","3,244,662","3,252,327","3,268,784","3,291,032","3,316,499","3,341,567","3,382,370","3,426,341","3,464,334","3,502,701","3,539,477","3,576,220","3,610,982","3,644,841","3,677,161","3,709,855","3,741,390","3,772,453","3,802,060","3,829,701","3,855,774","3,879,420","3,902,906","3,924,896","3,945,871","3,966,473","3,985,767","4,004,043","4,020,861","4,037,606"
      Denver PMSA,"2,144,968","2,192,900","2,220,450","2,245,902","2,274,818","2,299,267","2,340,064","2,381,281","2,424,992","2,468,523","2,502,291","2,549,059","2,594,255","2,642,273","2,692,972","2,748,921","2,789,730","2,821,327","2,858,678","2,886,880","2,911,019","2,917,566","2,924,955","2,942,121","2,964,222","2,989,534","3,014,583","3,052,829","3,094,192","3,129,609","3,165,640","3,200,129","3,234,637","3,267,216","3,298,942","3,329,193","3,359,869","3,389,464","3,418,673","3,446,512","3,472,476","3,496,960","3,519,211","3,541,494","3,562,476","3,582,633","3,602,602","3,621,444","3,639,448","3,656,156","3,672,951"
      Boulder PMSA,"276,254","283,510","284,433","282,763","283,288","282,910","286,133","288,757","291,827","293,641","295,605","300,526","305,881","310,896","314,213","320,352","323,957","325,414","328,055","328,827","330,923","327,096","327,372","326,663","326,811","326,965","326,985","329,541","332,150","334,725","337,061","339,348","341,582","343,767","345,899","347,968","349,986","351,926","353,781","355,548","357,225","358,814","360,210","361,411","362,420","363,238","363,871","364,322","364,595","364,705","364,656"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   North Front Range,"436,161","453,393","465,146","475,303","487,338","499,305","512,310","525,033","536,510","546,461","554,762","564,044","574,802","586,107","600,117","618,300","633,641","648,782","663,880","679,133","691,343","702,674","717,877","730,169","740,279","753,127","766,697","783,788","798,669","812,854","826,930","841,117","854,913","868,532","882,017","895,273","908,316","921,140","933,731","946,098","958,238","970,150","981,859","993,388","1,004,737","1,015,922","1,026,945","1,037,798","1,048,479","1,058,994","1,069,346"
      Fort Collins MSA,"253,087","260,911","266,171","268,146","273,269","275,873","281,027","286,754","292,394","297,502","300,532","305,342","310,952","316,337","324,123","333,445","339,128","344,187","350,661","356,800","359,920","362,791","367,702","370,639","372,826","377,114","381,869","388,518","394,229","399,249","404,179","408,987","413,647","418,256","422,751","427,134","431,412","435,581","439,648","443,598","447,442","451,175","454,793","458,326","461,764","465,122","468,393","471,568","474,647","477,636","480,532"
      Greeley MSA,"183,074","192,482","198,975","207,157","214,069","223,432","231,283","238,279","244,116","248,959","254,230","258,702","263,850","269,770","275,994","284,855","294,513","304,595","313,219","322,333","331,423","339,883","350,175","359,530","367,453","376,012","384,829","395,270","404,441","413,604","422,751","432,130","441,266","450,276","459,266","468,139","476,905","485,559","494,083","502,499","510,796","518,975","527,065","535,062","542,973","550,800","558,552","566,230","573,832","581,358","588,815"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Colo. Springs MSA,"540,870","558,074","567,229","573,886","580,673","591,827","605,293","611,936","622,162","631,723","650,673","662,407","671,715","681,413","688,875","700,975","715,902","728,950","742,335","750,177","757,111","762,188","765,388","768,784","774,880","783,300","792,038","803,142","814,387","825,610","836,948","848,413","859,907","871,349","882,708","893,956","905,050","915,944","926,593","936,968","947,046","956,795","966,190","975,257","983,967","992,320","1,000,321","1,007,964","1,015,222","1,022,116","1,028,653"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
