Vintage 2024 Prepared October 2025,,,,,,,,,,,,,,
id,countyfips,placefips,municipalityname,year,totalpopulation,householdpopulation,groupquarterspopulation,householdsize,totalhousingunits,occupiedhousingunits,vacanthousingunits,vacancyrate,hpthuratio,countyplace
1,71,760,Aguilar,2010,534,534,0,2.49,269,214,55,20.34,1.99,7100760
2,71,760,Aguilar,2011,517,517,0,2.29,269,225,44,16.18,1.92,7100760
3,71,760,Aguilar,2012,509,509,0,2.28,269,223,46,16.92,1.89,7100760
4,71,760,Aguilar,2013,498,498,0,2.26,269,221,48,18.02,1.85,7100760
5,71,760,Aguilar,2014,492,492,0,2.24,269,219,50,18.46,1.83,7100760
6,71,760,Aguilar,2015,487,487,0,2.22,269,219,50,18.65,1.81,7100760
7,71,760,Aguilar,2016,482,482,0,2.21,269,218,51,18.82,1.79,7100760
8,71,760,Aguilar,2017,477,477,0,2.19,269,218,51,19.03,1.77,7100760
9,71,760,Aguilar,2018,471,471,0,2.17,269,217,52,19.33,1.75,7100760
10,71,760,Aguilar,2019,465,465,0,2.15,269,216,53,19.7,1.73,7100760
11,71,760,Aguilar,2020,457,457,0,2.14,269,214,55,20.45,1.7,7100760
12,71,760,Aguilar,2021,458,458,0,2.14,269,214,55,20.45,1.7,7100760
13,71,760,Aguilar,2022,455,455,0,2.13,269,214,55,20.45,1.69,7100760
14,71,760,Aguilar,2023,454,454,0,2.12,269,214,55,20.45,1.69,7100760
15,71,760,Aguilar,2024,450,450,0,2.1,269,214,55,20.45,1.67,7100760
16,121,925,Akron,2010,1651,1467,184,2.22,815,660,155,18.98,1.8,12100925
17,121,925,Akron,2011,1688,1569,119,2.17,816,725,91,11.2,1.92,12100925
18,121,925,Akron,2012,1627,1573,54,2.18,817,723,94,11.54,1.93,12100925
19,121,925,Akron,2013,1670,1577,93,2.19,817,721,96,11.78,1.93,12100925
20,121,925,Akron,2014,1660,1579,80,2.2,817,718,99,12.09,1.93,12100925
21,121,925,Akron,2015,1711,1583,127,2.21,819,716,103,12.52,1.93,12100925
22,121,925,Akron,2016,1755,1584,171,2.22,820,713,107,13.02,1.93,12100925
23,121,925,Akron,2017,1836,1584,252,2.23,821,710,111,13.55,1.93,12100925
24,121,925,Akron,2018,1788,1587,200,2.24,823,707,116,14.04,1.93,12100925
25,121,925,Akron,2019,1776,1585,191,2.25,825,703,122,14.79,1.92,12100925
26,121,925,Akron,2020,1752,1586,166,2.26,828,701,127,15.34,1.92,12100925
27,121,925,Akron,2021,1766,1601,165,2.28,829,702,127,15.32,1.93,12100925
28,121,925,Akron,2022,1755,1591,164,2.27,829,702,127,15.32,1.92,12100925
29,121,925,Akron,2023,1759,1594,165,2.27,830,703,127,15.3,1.92,12100925
30,121,925,Akron,2024,1731,1568,163,2.22,833,705,128,15.37,1.88,12100925
31,3,1090,Alamosa,2010,8796,8124,672,2.37,3675,3433,242,6.59,2.21,301090
32,3,1090,Alamosa,2011,8866,8194,672,2.36,3713,3469,244,6.57,2.21,301090
33,3,1090,Alamosa,2012,8947,8275,672,2.36,3769,3509,260,6.89,2.2,301090
34,3,1090,Alamosa,2013,9049,8377,672,2.35,3832,3559,273,7.12,2.19,301090
35,3,1090,Alamosa,2014,9169,8372,797,2.35,3871,3564,307,7.93,2.16,301090
36,3,1090,Alamosa,2015,9259,8462,797,2.34,3929,3609,320,8.15,2.15,301090
37,3,1090,Alamosa,2016,9302,8505,797,2.34,3961,3635,326,8.24,2.15,301090
38,3,1090,Alamosa,2017,9455,8658,797,2.34,4050,3705,345,8.52,2.14,301090
39,3,1090,Alamosa,2018,9583,8786,797,2.33,4130,3767,363,8.79,2.13,301090
40,3,1090,Alamosa,2019,9677,8880,797,2.33,4186,3813,373,8.91,2.12,301090
41,3,1090,Alamosa,2020,9824,8923,901,2.32,4239,3854,385,9.08,2.1,301090
42,3,1090,Alamosa,2021,9911,8986,925,2.32,4255,3868,387,9.1,2.11,301090
43,3,1090,Alamosa,2022,9872,8965,907,2.31,4275,3886,389,9.1,2.1,301090
44,3,1090,Alamosa,2023,9885,8985,900,2.29,4312,3920,392,9.09,2.08,301090
45,3,1090,Alamosa,2024,9888,8970,918,2.26,4366,3969,397,9.09,2.05,301090
46,93,1530,Alma,2010,271,271,0,2.2,169,123,46,26.98,1.6,9301530
47,93,1530,Alma,2011,247,247,0,1.98,171,125,46,26.96,1.44,9301530
48,93,1530,Alma,2012,250,250,0,1.99,172,126,46,26.87,1.45,9301530
49,93,1530,Alma,2013,255,255,0,2,173,127,46,26.51,1.47,9301530
50,93,1530,Alma,2014,261,261,0,2.02,175,129,46,26.04,1.49,9301530
51,93,1530,Alma,2015,267,267,0,2.03,176,131,45,25.32,1.52,9301530
52,93,1530,Alma,2016,275,275,0,2.04,177,134,43,24.11,1.55,9301530
53,93,1530,Alma,2017,282,282,0,2.06,178,137,41,23.06,1.58,9301530
54,93,1530,Alma,2018,290,290,0,2.07,179,140,39,21.89,1.62,9301530
55,93,1530,Alma,2019,293,293,0,2.09,179,140,39,21.79,1.64,9301530
56,93,1530,Alma,2020,296,296,0,2.1,180,141,39,21.67,1.64,9301530
57,93,1530,Alma,2021,299,299,0,2.11,181,142,39,21.55,1.65,9301530
58,93,1530,Alma,2022,309,309,0,2.12,187,146,41,21.93,1.65,9301530
59,93,1530,Alma,2023,314,314,0,2.11,190,149,41,21.58,1.65,9301530
60,93,1530,Alma,2024,319,319,0,2.13,192,150,42,21.88,1.66,9301530
61,21,2355,Antonito,2010,783,782,1,2.46,375,318,57,15.23,2.09,2102355
62,21,2355,Antonito,2011,758,757,1,2.26,377,335,42,11.06,2.01,2102355
63,21,2355,Antonito,2012,748,746,1,2.25,377,332,45,11.89,1.98,2102355
64,21,2355,Antonito,2013,737,736,1,2.24,377,329,48,12.73,1.95,2102355
65,21,2355,Antonito,2014,726,724,1,2.22,377,326,51,13.64,1.92,2102355
66,21,2355,Antonito,2015,714,713,1,2.21,377,322,55,14.53,1.89,2102355
67,21,2355,Antonito,2016,701,700,1,2.2,377,318,59,15.68,1.86,2102355
68,21,2355,Antonito,2017,688,687,2,2.19,377,314,63,16.83,1.82,2102355
69,21,2355,Antonito,2018,674,672,2,2.18,377,309,68,18.16,1.78,2102355
70,21,2355,Antonito,2019,658,656,2,2.17,377,303,74,19.63,1.74,2102355
