countyfips,year,estimate,change,births,deaths,netmig,datatype,source_url
13,1970,133432,6432,2309,780,4903,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1970
13,1971,139606,6174,2268,778,4684,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1971
13,1972,149630,10024,2198,802,8628,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1972
13,1973,158937,9307,2147,841,8001,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1973
13,1974,166393,7456,2066,851,6241,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1974
13,1975,169181,2788,2073,811,1526,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1975
13,1976,170416,1235,2120,810,-75,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1976
13,1977,177978,7562,2207,845,6200,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1977
13,1978,183474,5496,2331,853,4018,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1978
13,1979,187199,3725,2491,869,2103,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1979
13,1980,190695,3496,2644,897,1749,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1980
13,1981,194914,4219,2876,956,2299,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1981
13,1982,200177,5263,3039,999,3223,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1982
13,1983,204606,4429,3060,977,2346,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1983
13,1984,210225,5619,3160,1002,3461,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1984
13,1985,209444,-781,3279,1055,-3005,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1985
13,1986,211841,2397,3299,1036,134,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1986
13,1987,214222,2381,3262,1034,153,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1987
13,1988,218380,4158,3241,1066,1983,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1988
13,1989,222354,3974,3231,1068,1811,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1989
13,1990,226042,3688,3275,1080,1493,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1990
13,1991,230977,4935,3323,1104,2716,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1991
13,1992,238392,7415,3332,1043,5126,Estimate,https://gis.dola.colorado.gov/lookups/components?county=13&year=1992
